id,routePackId,name,shortName,address,longitude,latitude,category,indoor,publicAccess,estimatedCostCny,stayMinutes,walkMinutes,tags,moodTags,storyHooks,taskHooks,observationAnchors,safetyNotes,verificationStatus,verifiedAt,sourceUrls,fallbackPoiIds
mock_wk_01,wukang-hunan,开发模拟节点A1,模拟A1,开发测试地址A1（不对应真实地点）,121.4300,31.2100,mock_outdoor,false,true,0,15,5,development|mock,quiet|urban,fiction-only|test-hook,observe-detail|journal-note,shape|color,remain-in-public-space,mock,,,mock_wk_02|mock_wk_05
mock_wk_02,wukang-hunan,开发模拟节点A2,模拟A2,开发测试地址A2（不对应真实地点）,121.4320,31.2120,mock_indoor,true,true,50,20,5,development|mock,warm|calm,fiction-only|test-hook,observe-signage|solve-pattern,signage|material,follow-on-site-rules,mock,,,mock_wk_03|mock_wk_01
mock_wk_03,wukang-hunan,开发模拟节点A3,模拟A3,开发测试地址A3（不对应真实地点）,121.4340,31.2140,mock_outdoor,false,true,0,15,5,development|mock,lively|green,fiction-only|test-hook,listen-soundscape|observe-detail,sound|plant,remain-in-public-space,mock,,,mock_wk_04|mock_wk_02
mock_wk_04,wukang-hunan,开发模拟节点A4,模拟A4,开发测试地址A4（不对应真实地点）,121.4360,31.2160,mock_outdoor,false,true,0,20,5,development|mock,reflective|urban,fiction-only|test-hook,journal-note|companion-discussion,texture|light,avoid-blocking-pedestrians,mock,,,mock_wk_05|mock_wk_03
mock_wk_05,wukang-hunan,开发模拟节点A5,模拟A5,开发测试地址A5（不对应真实地点）,121.4380,31.2180,mock_indoor,true,true,100,25,5,development|mock,cozy|quiet,fiction-only|test-hook,observe-layout|solve-pattern,layout|shadow,follow-on-site-rules,mock,,,mock_wk_01|mock_wk_04
mock_sr_01,suzhou-river-north-bund,开发模拟节点B1,模拟B1,开发测试地址B1（不对应真实地点）,121.4800,31.2450,mock_outdoor,false,true,0,15,5,development|mock,open|urban,fiction-only|test-hook,observe-detail|journal-note,line|color,remain-in-public-space,mock,,,mock_sr_02|mock_sr_05
mock_sr_02,suzhou-river-north-bund,开发模拟节点B2,模拟B2,开发测试地址B2（不对应真实地点）,121.4830,31.2470,mock_outdoor,false,true,0,20,5,development|mock,breezy|calm,fiction-only|test-hook,listen-soundscape|companion-discussion,sound|reflection,keep-safe-distance-from-water,mock,,,mock_sr_03|mock_sr_01
mock_sr_03,suzhou-river-north-bund,开发模拟节点B3,模拟B3,开发测试地址B3（不对应真实地点）,121.4860,31.2490,mock_indoor,true,true,50,20,5,development|mock,quiet|modern,fiction-only|test-hook,observe-layout|solve-pattern,layout|material,follow-on-site-rules,mock,,,mock_sr_04|mock_sr_02
mock_sr_04,suzhou-river-north-bund,开发模拟节点B4,模拟B4,开发测试地址B4（不对应真实地点）,121.4890,31.2510,mock_outdoor,false,true,0,15,5,development|mock,lively|open,fiction-only|test-hook,observe-detail|journal-note,movement|light,avoid-blocking-pedestrians,mock,,,mock_sr_05|mock_sr_03
mock_sr_05,suzhou-river-north-bund,开发模拟节点B5,模拟B5,开发测试地址B5（不对应真实地点）,121.4920,31.2530,mock_outdoor,false,true,0,25,5,development|mock,reflective|urban,fiction-only|test-hook,listen-soundscape|observe-detail,sound|shape,remain-in-public-space,mock,,,mock_sr_01|mock_sr_04
